a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,age,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,target
Oui,0,3,19,3,Marketing,Aucun,0,1,4,2,4,2,2,3,Oui,34,Célibataire,Commercial,Cadre Commercial,8,5,1
Non,0,2,2,3,Infra & Cloud,Occasionnel,1,3,3,4,4,3,3,3,Oui,55,Célibataire,Consulting,Senior Manager,2,5,0
Non,1,2,10,4,Marketing,Occasionnel,0,4,3,2,3,4,4,3,Oui,24,Divorcé(e),Commercial,Cadre Commercial,1,5,0
Non,1,3,2,1,Entrepreunariat,Occasionnel,0,3,3,1,2,1,3,3,Non,30,Marié(e),Commercial,Représentant Commercial,1,1,0
Oui,0,2,3,1,Entrepreunariat,Frequent,0,3,3,1,1,3,3,4,Non,26,Célibataire,Consulting,Assistant de Direction,0,6,1
Non,1,1,11,3,Transformation Digitale,Occasionnel,1,1,3,1,2,4,3,3,Non,22,Marié(e),Consulting,Assistant de Direction,1,2,0
Non,2,2,2,2,Transformation Digitale,Occasionnel,9,2,2,3,3,2,3,3,Non,36,Marié(e),Commercial,Cadre Commercial,1,10,0
Oui,0,4,4,3,Entrepreunariat,Frequent,0,3,3,1,4,3,3,4,Oui,30,Célibataire,Consulting,Assistant de Direction,9,1,1
Non,1,2,14,3,Infra & Cloud,Occasionnel,12,4,3,1,1,3,2,3,Non,37,Divorcé(e),Consulting,Consultant,1,18,0
Non,2,5,2,2,Marketing,Occasionnel,1,4,3,2,2,3,3,3,Non,40,Divorcé(e),Commercial,Cadre Commercial,7,5,0
Non,1,5,1,4,Infra & Cloud,Occasionnel,1,2,3,1,1,2,3,3,Non,42,Divorcé(e),Consulting,Consultant,3,5,0
Non,0,2,10,4,Infra & Cloud,Occasionnel,0,3,3,2,2,4,2,3,Oui,37,Célibataire,Consulting,Tech Lead,2,1,0
Non,1,3,12,3,Infra & Cloud,Occasionnel,3,1,2,4,2,3,3,3,Non,43,Divorcé(e),Consulting,Directeur Technique,1,25,0
Non,1,3,2,3,Transformation Digitale,Occasionnel,0,2,2,2,3,2,3,4,Non,40,Marié(e),Consulting,Consultant,6,1,0
Non,1,4,5,2,Transformation Digitale,Occasionnel,1,1,3,5,1,3,2,3,Non,54,Marié(e),Consulting,Directeur Technique,4,4,0
Non,1,3,4,4,Marketing,Aucun,1,3,3,2,3,1,3,3,Non,34,Marié(e),Commercial,Cadre Commercial,9,3,0
Non,1,5,7,2,Transformation Digitale,Occasionnel,3,2,3,2,1,2,1,3,Non,31,Marié(e),Consulting,Tech Lead,1,13,0
Non,1,1,21,3,Transformation Digitale,Frequent,1,4,3,1,4,1,3,4,Non,43,Marié(e),Consulting,Consultant,7,3,0
Non,0,3,8,4,Autre,Occasionnel,0,3,3,2,3,4,3,3,Oui,43,Divorcé(e),Consulting,Manager,4,5,0
Non,0,3,4,2,Infra & Cloud,Occasionnel,1,2,2,2,4,2,3,3,Oui,25,Célibataire,Commercial,Cadre Commercial,1,5,0
Non,2,2,25,5,Transformation Digitale,Aucun,10,2,3,2,3,1,3,3,Oui,37,Marié(e),Consulting,Assistant de Direction,3,13,0
Non,1,3,1,2,Infra & Cloud,Occasionnel,3,4,2,1,1,3,3,3,Non,31,Marié(e),Consulting,Consultant,1,4,0
Non,1,3,1,1,Infra & Cloud,Frequent,1,2,3,5,3,3,3,3,Oui,39,Divorcé(e),Consulting,Senior Manager,1,21,0
Non,3,0,6,3,Infra & Cloud,Frequent,7,3,4,4,1,4,2,3,Non,56,Marié(e),Commercial,Cadre Commercial,9,7,0
Non,0,6,12,3,Entrepreunariat,Occasionnel,4,2,3,2,3,2,3,3,Non,30,Célibataire,Commercial,Cadre Commercial,0,5,0
Non,1,2,1,3,Marketing,Occasionnel,0,2,4,3,1,3,3,3,Non,41,Marié(e),Commercial,Cadre Commercial,1,10,0
Non,1,2,17,2,Transformation Digitale,Occasionnel,1,3,3,2,1,4,3,3,Non,28,Divorcé(e),Consulting,Consultant,1,10,0
Oui,1,5,3,3,Transformation Digitale,Occasionnel,0,1,3,1,1,3,3,3,Non,25,Marié(e),Consulting,Consultant,5,2,1
Non,0,4,3,3,Transformation Digitale,Occasionnel,0,4,2,3,3,3,3,3,Oui,52,Marié(e),Consulting,Tech Lead,2,5,0
Non,2,3,10,2,Infra & Cloud,Occasionnel,0,1,3,1,4,4,2,4,Non,45,Marié(e),Consulting,Assistant de Direction,3,2,0
Non,0,2,4,2,Infra & Cloud,Occasionnel,1,4,3,4,4,4,1,3,Non,52,Marié(e),Consulting,Senior Manager,2,5,0
Non,1,3,29,2,Infra & Cloud,Frequent,0,1,3,2,3,2,3,3,Non,42,Divorcé(e),Consulting,Assistant de Direction,2,5,0
Non,0,2,2,3,Infra & Cloud,Occasionnel,0,3,1,2,4,3,3,4,Non,30,Célibataire,Consulting,Tech Lead,2,5,0
Non,0,5,7,3,Infra & Cloud,Occasionnel,11,1,3,5,1,4,1,3,Non,60,Marié(e),Consulting,Senior Manager,5,29,0
Non,1,5,18,3,Transformation Digitale,Occasionnel,0,3,3,2,3,3,2,3,Non,46,Divorcé(e),Consulting,Tech Lead,2,10,0
Non,3,4,28,4,Entrepreunariat,Frequent,0,4,2,2,4,4,4,3,Non,42,Marié(e),Consulting,Manager,0,6,0
Oui,0,4,1,1,Entrepreunariat,Occasionnel,1,1,3,1,2,2,3,3,Oui,24,Célibataire,Commercial,Représentant Commercial,1,5,1
Oui,1,3,6,2,Marketing,Frequent,1,4,1,1,3,4,2,3,Non,34,Divorcé(e),Commercial,Représentant Commercial,0,2,1
Non,1,3,2,2,Infra & Cloud,Frequent,0,4,3,1,4,3,3,4,Oui,38,Marié(e),Consulting,Consultant,1,1,0
Non,0,2,2,4,Infra & Cloud,Occasionnel,1,3,3,5,3,4,3,3,Non,40,Marié(e),Commercial,Senior Manager,0,20,0
Non,2,3,23,3,Infra & Cloud,Occasionnel,0,1,3,1,4,2,1,4,Non,26,Divorcé(e),Consulting,Assistant de Direction,1,3,0
Non,1,3,3,3,Infra & Cloud,Aucun,1,3,3,1,4,3,1,3,Non,30,Marié(e),Consulting,Consultant,4,5,0
Non,0,2,3,4,Transformation Digitale,Occasionnel,0,2,2,3,3,3,3,3,Non,29,Marié(e),Consulting,Directeur Technique,1,10,0
Oui,0,2,25,5,Entrepreunariat,Occasionnel,1,3,2,1,2,2,4,3,Non,29,Marié(e),Consulting,Assistant de Direction,5,2,1
Oui,0,3,2,2,Entrepreunariat,Occasionnel,0,1,2,1,4,3,4,3,Non,19,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1
Non,0,3,22,4,Autre,Aucun,7,3,3,3,1,3,3,3,Non,30,Marié(e),Commercial,Cadre Commercial,0,9,0
Non,1,3,29,3,Marketing,Occasionnel,0,1,2,4,4,3,2,3,Non,57,Divorcé(e),Commercial,Senior Manager,3,1,0
Non,1,2,29,4,Infra & Cloud,Occasionnel,15,2,2,4,3,2,3,3,Non,50,Marié(e),Consulting,Senior Manager,0,27,0
Non,0,2,2,3,Transformation Digitale,Aucun,6,3,3,1,4,3,2,3,Non,30,Célibataire,Consulting,Consultant,0,11,0
Non,0,5,28,3,Marketing,Frequent,13,3,2,3,1,4,4,3,Non,60,Marié(e),Commercial,Cadre Commercial,4,18,0
Non,3,2,2,2,Transformation Digitale,Occasionnel,0,1,3,2,4,3,3,3,Non,47,Divorcé(e),Consulting,Tech Lead,5,5,0
Non,0,2,2,3,Infra & Cloud,Occasionnel,0,1,3,4,3,3,1,3,Non,46,Marié(e),Consulting,Directeur Technique,6,3,0
Non,0,2,22,3,Infra & Cloud,Occasionnel,4,4,1,1,3,3,3,3,Non,35,Célibataire,Consulting,Consultant,0,5,0
Non,0,3,8,4,Infra & Cloud,Occasionnel,0,3,3,2,3,3,3,3,Non,54,Célibataire,Consulting,Consultant,7,1,0
Non,1,3,2,4,Infra & Cloud,Occasionnel,5,4,2,1,3,3,3,3,Non,34,Divorcé(e),Consulting,Assistant de Direction,3,7,0
Non,1,3,10,3,Marketing,Occasionnel,1,3,2,3,4,3,3,3,Oui,46,Marié(e),Commercial,Cadre Commercial,2,3,0
Non,1,6,9,1,Infra & Cloud,Occasionnel,0,3,3,3,2,4,4,4,Non,31,Divorcé(e),Consulting,Tech Lead,1,13,0
Oui,0,2,15,1,Transformation Digitale,Occasionnel,7,2,3,3,3,4,4,3,Oui,33,Marié(e),Consulting,Senior Manager,7,7,1
Oui,3,2,10,1,Transformation Digitale,Occasionnel,1,1,1,1,4,1,3,3,Non,33,Divorcé(e),Consulting,Consultant,7,4,1
Non,0,3,7,1,Marketing,Occasionnel,1,4,3,1,2,1,3,3,Non,30,Célibataire,Commercial,Représentant Commercial,0,3,0
Non,0,2,16,3,Infra & Cloud,Occasionnel,0,4,3,3,3,3,3,3,Oui,35,Marié(e),Consulting,Manager,4,8,0
Oui,0,2,20,3,Infra & Cloud,Frequent,0,1,3,3,3,1,3,3,Non,31,Marié(e),Consulting,Manager,3,1,1
Oui,3,2,23,3,Ressources Humaines,Frequent,0,2,3,3,1,3,3,3,Oui,34,Divorcé(e),Ressources Humaines,Ressources Humaines,9,3,1
Non,1,4,5,2,Autre,Frequent,2,2,3,1,3,4,3,3,Non,42,Marié(e),Consulting,Consultant,4,2,0
Non,0,3,10,4,Transformation Digitale,Aucun,9,2,3,3,4,4,2,3,Non,36,Célibataire,Commercial,Cadre Commercial,1,10,0
Oui,0,3,4,1,Entrepreunariat,Frequent,1,3,2,1,3,3,3,3,Non,22,Célibataire,Consulting,Consultant,5,2,1
Non,1,2,2,5,Marketing,Occasionnel,6,2,3,2,4,1,3,3,Non,48,Marié(e),Commercial,Cadre Commercial,2,9,0
Non,0,2,18,5,Infra & Cloud,Occasionnel,7,1,3,4,2,4,3,4,Non,55,Célibataire,Commercial,Senior Manager,3,10,0
Non,0,3,10,2,Infra & Cloud,Aucun,1,4,3,2,4,4,3,3,Non,41,Célibataire,Commercial,Cadre Commercial,7,14,0
Non,0,2,1,3,Marketing,Occasionnel,6,2,3,2,3,3,3,3,Non,35,Marié(e),Commercial,Cadre Commercial,9,11,0
Non,0,3,6,3,Infra & Cloud,Occasionnel,5,2,3,4,3,3,3,3,Non,40,Célibataire,Consulting,Tech Lead,7,20,0
Non,1,3,8,1,Infra & Cloud,Frequent,0,3,3,1,3,1,3,3,Non,39,Marié(e),Consulting,Consultant,1,8,0
Non,0,2,2,1,Infra & Cloud,Occasionnel,0,2,3,2,4,3,4,3,Oui,31,Célibataire,Commercial,Cadre Commercial,4,6,0
Non,1,5,24,3,Transformation Digitale,Occasionnel,5,4,3,3,1,4,2,4,Oui,42,Marié(e),Consulting,Tech Lead,1,10,0
Non,1,3,2,3,Autre,Occasionnel,3,4,3,2,2,2,4,3,Non,45,Marié(e),Commercial,Cadre Commercial,0,8,0
Oui,1,2,17,4,Infra & Cloud,Frequent,1,2,3,1,3,2,2,3,Oui,26,Divorcé(e),Ressources Humaines,Ressources Humaines,0,7,1
Non,2,2,19,3,Entrepreunariat,Occasionnel,1,4,3,2,4,2,4,3,Non,29,Divorcé(e),Consulting,Tech Lead,4,3,0
Non,1,2,1,5,Transformation Digitale,Occasionnel,0,1,4,4,3,3,3,3,Non,33,Divorcé(e),Consulting,Directeur Technique,4,6,0
Non,1,3,7,3,Infra & Cloud,Occasionnel,0,3,2,3,4,3,2,4,Non,31,Divorcé(e),Commercial,Senior Manager,9,5,0
Oui,0,3,5,3,Marketing,Frequent,0,2,3,1,2,4,3,3,Oui,18,Célibataire,Commercial,Représentant Commercial,1,0,1
Non,1,2,28,3,Autre,Aucun,0,3,1,3,1,3,3,3,Non,40,Divorcé(e),Commercial,Cadre Commercial,3,1,0
Non,0,3,2,4,Autre,Aucun,0,1,2,2,3,1,3,3,Oui,41,Célibataire,Consulting,Manager,2,8,0
Non,2,5,29,2,Transformation Digitale,Occasionnel,0,1,3,2,3,1,3,3,Non,26,Divorcé(e),Commercial,Cadre Commercial,5,0,0
Non,0,3,1,3,Transformation Digitale,Occasionnel,0,1,3,2,3,4,3,3,Non,35,Célibataire,Commercial,Cadre Commercial,1,5,0
Non,0,3,21,4,Infra & Cloud,Occasionnel,5,4,4,2,4,4,3,3,Non,34,Célibataire,Commercial,Cadre Commercial,1,10,0
Oui,0,3,24,3,Entrepreunariat,Occasionnel,0,3,1,1,4,2,1,3,Oui,26,Célibataire,Consulting,Consultant,1,1,1
Non,0,3,1,3,Entrepreunariat,Occasionnel,1,2,3,3,4,4,4,3,Non,37,Célibataire,Consulting,Tech Lead,4,6,0
Non,0,3,18,1,Transformation Digitale,Frequent,1,1,3,3,3,4,2,3,Non,46,Marié(e),Consulting,Manager,5,2,0
Non,1,2,2,5,Infra & Cloud,Occasionnel,11,2,3,4,1,2,3,3,Non,41,Marié(e),Commercial,Senior Manager,7,18,0
Non,1,6,9,4,Transformation Digitale,Aucun,7,1,3,3,2,4,3,3,Non,37,Divorcé(e),Commercial,Cadre Commercial,1,9,0
Non,2,3,6,2,Entrepreunariat,Occasionnel,6,4,3,2,1,2,3,3,Oui,52,Divorcé(e),Consulting,Assistant de Direction,3,10,0
Oui,0,2,11,4,Autre,Aucun,1,4,4,2,3,4,3,3,Non,32,Marié(e),Commercial,Cadre Commercial,8,4,1
Non,2,3,24,3,Transformation Digitale,Frequent,2,4,3,1,4,3,3,3,Non,24,Marié(e),Commercial,Représentant Commercial,0,2,0
Non,1,4,10,3,Transformation Digitale,Occasionnel,0,3,3,2,3,3,3,3,Non,38,Marié(e),Consulting,Manager,3,1,0
Non,1,2,1,4,Infra & Cloud,Occasionnel,4,2,3,2,2,2,2,3,Non,37,Marié(e),Consulting,Tech Lead,6,6,0
Non,1,5,18,4,Infra & Cloud,Occasionnel,0,4,2,5,3,3,3,3,Oui,49,Divorcé(e),Consulting,Directeur Technique,1,31,0
Non,2,3,23,3,Transformation Digitale,Occasionnel,1,2,4,1,4,2,3,3,Oui,24,Marié(e),Consulting,Assistant de Direction,1,6,0
Non,2,5,28,2,Marketing,Occasionnel,1,1,3,2,2,4,4,4,Non,26,Marié(e),Commercial,Cadre Commercial,1,5,0
Non,1,2,17,2,Autre,Occasionnel,0,4,2,1,2,4,3,4,Non,24,Marié(e),Consulting,Consultant,1,1,0
Non,1,2,3,3,Transformation Digitale,Frequent,10,1,3,5,2,3,3,3,Non,50,Marié(e),Ressources Humaines,Senior Manager,1,32,0
Non,0,1,13,1,Transformation Digitale,Occasionnel,0,2,3,1,3,3,3,3,Non,25,Marié(e),Commercial,Représentant Commercial,1,7,0
Oui,1,4,7,3,Infra & Cloud,Frequent,1,1,3,1,3,4,3,3,Oui,24,Marié(e),Consulting,Consultant,1,6,1
Oui,1,2,12,4,Infra & Cloud,Frequent,0,2,2,1,1,3,4,3,Non,30,Marié(e),Commercial,Représentant Commercial,1,1,1
Non,1,3,1,2,Infra & Cloud,Occasionnel,1,2,2,1,4,4,3,3,Oui,34,Marié(e),Consulting,Assistant de Direction,1,6,0
Oui,0,2,13,4,Transformation Digitale,Occasionnel,1,2,3,2,1,3,1,3,Non,31,Divorcé(e),Commercial,Cadre Commercial,2,3,1
Non,0,3,25,2,Autre,Occasionnel,0,1,2,2,4,4,3,3,Non,35,Célibataire,Consulting,Consultant,4,3,0
Non,2,4,6,4,Transformation Digitale,Occasionnel,5,1,4,2,4,4,4,4,Non,31,Divorcé(e),Commercial,Cadre Commercial,4,7,0
Non,2,5,6,4,Transformation Digitale,Occasionnel,0,1,2,1,3,3,2,3,Non,27,Divorcé(e),Consulting,Assistant de Direction,0,5,0
Non,1,3,2,3,Marketing,Occasionnel,1,4,3,2,3,3,2,3,Oui,37,Marié(e),Commercial,Cadre Commercial,4,3,0
Non,0,0,1,3,Infra & Cloud,Occasionnel,0,4,2,1,2,4,4,3,Non,20,Célibataire,Consulting,Assistant de Direction,1,1,0
Non,2,4,2,4,Infra & Cloud,Occasionnel,2,3,3,2,4,2,3,3,Non,42,Marié(e),Consulting,Manager,1,10,0
Non,1,3,6,4,Autre,Occasionnel,0,2,2,4,4,3,2,3,Oui,43,Divorcé(e),Consulting,Directeur Technique,4,1,0
Non,0,3,1,1,Infra & Cloud,Occasionnel,0,3,3,1,1,4,2,3,Non,38,Célibataire,Consulting,Assistant de Direction,3,0,0
Non,1,3,9,5,Transformation Digitale,Frequent,4,4,3,2,3,2,3,3,Oui,43,Divorcé(e),Consulting,Consultant,3,8,0
Non,1,3,1,4,Infra & Cloud,Occasionnel,0,4,2,4,1,1,1,3,Non,48,Marié(e),Consulting,Senior Manager,7,3,0
Non,0,1,1,4,Infra & Cloud,Occasionnel,0,1,2,2,3,2,4,3,Non,44,Célibataire,Ressources Humaines,Ressources Humaines,4,2,0
Non,2,3,14,3,Entrepreunariat,Occasionnel,0,3,3,1,3,4,3,3,Oui,34,Divorcé(e),Commercial,Représentant Commercial,1,8,0
Oui,1,3,2,1,Marketing,Occasionnel,0,3,3,1,1,2,3,3,Non,27,Divorcé(e),Commercial,Représentant Commercial,0,4,1
Non,0,2,22,1,Entrepreunariat,Occasionnel,1,3,3,1,3,3,3,3,Non,21,Célibataire,Commercial,Représentant Commercial,1,3,0
Non,1,2,3,4,Autre,Occasionnel,0,4,3,5,4,1,4,3,Oui,44,Marié(e),Consulting,Senior Manager,4,2,0
Non,0,3,6,1,Transformation Digitale,Occasionnel,2,1,3,1,3,4,3,4,Non,22,Marié(e),Consulting,Assistant de Direction,0,2,0
Non,0,3,8,4,Marketing,Occasionnel,1,3,3,2,3,4,3,3,Non,33,Divorcé(e),Commercial,Cadre Commercial,0,5,0
Non,1,2,9,4,Infra & Cloud,Occasionnel,0,1,3,2,4,4,2,3,Oui,32,Marié(e),Consulting,Assistant de Direction,1,6,0
Non,1,2,3,3,Transformation Digitale,Frequent,0,3,3,1,3,3,3,4,Non,30,Divorcé(e),Consulting,Assistant de Direction,1,1,0
Non,0,2,1,1,Transformation Digitale,Occasionnel,8,4,3,2,1,4,4,4,Non,53,Célibataire,Commercial,Cadre Commercial,7,14,0
Non,1,4,1,5,Infra & Cloud,Occasionnel,8,2,3,1,4,4,2,3,Non,34,Marié(e),Consulting,Assistant de Direction,1,10,0
Oui,2,4,26,4,Infra & Cloud,Frequent,0,1,3,2,1,4,3,3,Non,45,Marié(e),Commercial,Cadre Commercial,2,1,1
Non,1,2,6,3,Infra & Cloud,Occasionnel,0,3,3,1,4,3,3,3,Oui,26,Marié(e),Consulting,Consultant,1,3,0
Non,1,2,3,3,Autre,Occasionnel,7,3,3,3,3,3,3,3,Non,37,Marié(e),Consulting,Tech Lead,1,10,0
Non,1,5,3,2,Transformation Digitale,Occasionnel,1,2,3,2,3,1,2,3,Non,29,Marié(e),Commercial,Cadre Commercial,1,6,0
Non,0,3,6,4,Infra & Cloud,Occasionnel,11,2,1,2,4,2,3,3,Non,35,Célibataire,Consulting,Assistant de Direction,1,17,0
Non,1,2,6,3,Infra & Cloud,Frequent,4,3,3,2,4,3,1,4,Non,33,Divorcé(e),Consulting,Manager,3,13,0
Non,1,1,19,4,Transformation Digitale,Occasionnel,7,3,3,3,2,3,4,3,Non,54,Marié(e),Ressources Humaines,Ressources Humaines,2,9,0
Non,1,2,9,2,Transformation Digitale,Occasionnel,0,2,2,2,2,3,3,3,Oui,36,Divorcé(e),Consulting,Tech Lead,2,3,0
Non,0,0,3,4,Transformation Digitale,Occasionnel,1,1,2,1,4,4,3,3,Non,27,Célibataire,Consulting,Assistant de Direction,0,4,0
Oui,0,5,10,1,Transformation Digitale,Occasionnel,1,4,3,1,3,4,3,3,Oui,20,Célibataire,Consulting,Assistant de Direction,1,1,1
Oui,0,3,3,3,Infra & Cloud,Frequent,9,1,3,1,1,1,3,3,Oui,33,Célibataire,Consulting,Assistant de Direction,1,10,1
Non,2,3,3,3,Infra & Cloud,Aucun,0,3,2,1,3,3,3,3,Non,35,Marié(e),Consulting,Consultant,1,1,0
Non,1,3,4,3,Transformation Digitale,Occasionnel,0,1,4,1,1,1,4,3,Non,23,Marié(e),Consulting,Assistant de Direction,2,3,0
Non,1,4,8,3,Infra & Cloud,Occasionnel,1,4,4,2,2,3,3,4,Non,25,Marié(e),Commercial,Cadre Commercial,0,3,0
Non,0,2,7,4,Marketing,Occasionnel,0,4,2,2,4,1,3,4,Non,38,Célibataire,Commercial,Cadre Commercial,0,7,0
Non,1,5,1,4,Infra & Cloud,Frequent,2,2,1,1,4,4,3,3,Non,29,Divorcé(e),Consulting,Assistant de Direction,1,10,0
Non,0,3,2,1,Marketing,Occasionnel,2,2,4,2,2,4,3,3,Non,48,Marié(e),Commercial,Cadre Commercial,3,2,0
Non,2,3,3,1,Transformation Digitale,Frequent,0,4,4,2,4,2,3,4,Oui,27,Divorcé(e),Commercial,Cadre Commercial,1,6,0
Non,0,2,10,2,Infra & Cloud,Occasionnel,0,4,4,1,4,1,3,3,Non,37,Célibataire,Consulting,Assistant de Direction,3,1,0
Non,3,3,28,1,Transformation Digitale,Occasionnel,3,4,4,1,3,3,3,3,Oui,50,Marié(e),Consulting,Consultant,1,20,0
Non,0,3,9,3,Transformation Digitale,Occasionnel,7,4,2,3,2,2,4,3,Non,34,Célibataire,Consulting,Manager,1,8,0
Oui,0,3,3,2,Infra & Cloud,Occasionnel,2,1,3,2,3,1,3,3,Non,24,Célibataire,Commercial,Cadre Commercial,9,2,1
Non,0,4,2,4,Entrepreunariat,Occasionnel,11,4,2,2,3,1,3,3,Non,39,Célibataire,Consulting,Manager,1,20,0
Non,0,2,10,3,Marketing,Occasionnel,0,4,3,2,4,4,2,3,Non,32,Célibataire,Commercial,Cadre Commercial,1,10,0
Oui,1,4,8,2,Entrepreunariat,Frequent,1,2,3,2,3,1,3,3,Oui,50,Marié(e),Commercial,Cadre Commercial,3,4,1
Non,0,4,1,4,Infra & Cloud,Occasionnel,1,2,4,2,4,3,2,3,Non,38,Célibataire,Consulting,Manager,0,9,0
Non,0,3,1,2,Infra & Cloud,Occasionnel,0,3,3,3,1,4,3,3,Non,27,Marié(e),Consulting,Tech Lead,1,9,0
Non,0,6,3,2,Infra & Cloud,Occasionnel,7,3,3,3,4,4,3,3,Non,32,Célibataire,Consulting,Directeur Technique,3,7,0
Non,0,2,14,4,Marketing,Occasionnel,1,4,3,2,1,4,3,3,Non,47,Célibataire,Commercial,Cadre Commercial,2,7,0
Non,1,2,5,4,Infra & Cloud,Frequent,1,4,2,3,1,3,3,4,Oui,40,Marié(e),Commercial,Cadre Commercial,5,18,0
Non,0,3,7,3,Infra & Cloud,Occasionnel,1,3,4,4,3,3,3,3,Non,53,Marié(e),Consulting,Directeur Technique,3,5,0
Non,3,2,10,4,Ressources Humaines,Occasionnel,12,2,2,5,4,2,2,3,Non,41,Divorcé(e),Ressources Humaines,Senior Manager,3,21,0
Non,0,1,16,4,Marketing,Occasionnel,2,1,3,2,1,4,3,3,Non,60,Célibataire,Commercial,Cadre Commercial,8,2,0
Non,2,4,10,2,Infra & Cloud,Frequent,1,4,3,3,1,3,2,4,Non,27,Divorcé(e),Consulting,Tech Lead,1,9,0
Non,1,3,1,3,Ressources Humaines,Occasionnel,2,4,2,5,3,2,3,3,Non,41,Marié(e),Ressources Humaines,Senior Manager,1,22,0
Non,1,2,8,4,Marketing,Occasionnel,2,4,3,1,2,4,3,3,Non,50,Marié(e),Commercial,Représentant Commercial,7,2,0
Oui,0,4,1,2,Infra & Cloud,Occasionnel,3,1,1,1,2,4,3,3,Oui,28,Célibataire,Consulting,Assistant de Direction,7,7,1
Non,1,2,8,3,Infra & Cloud,Aucun,0,1,4,3,1,1,3,3,Non,36,Marié(e),Consulting,Directeur Technique,9,8,0
Non,0,4,1,3,Infra & Cloud,Occasionnel,0,3,3,3,3,4,4,3,Oui,38,Célibataire,Consulting,Tech Lead,4,1,0
Non,0,5,24,3,Transformation Digitale,Aucun,1,1,1,1,3,3,3,3,Non,44,Célibataire,Consulting,Consultant,2,5,0
Non,2,2,3,3,Transformation Digitale,Frequent,11,4,3,4,3,4,2,3,Oui,47,Divorcé(e),Commercial,Cadre Commercial,9,22,0
Non,1,2,27,5,Marketing,Occasionnel,7,3,3,2,4,4,2,4,Non,30,Divorcé(e),Commercial,Cadre Commercial,7,8,0
Non,0,6,10,3,Infra & Cloud,Occasionnel,0,3,3,1,3,3,3,3,Non,29,Célibataire,Commercial,Représentant Commercial,1,1,0
Oui,0,2,19,3,Transformation Digitale,Frequent,2,3,4,1,3,4,3,3,Oui,42,Divorcé(e),Consulting,Assistant de Direction,6,2,1
Non,1,5,15,3,Infra & Cloud,Frequent,2,4,2,2,4,3,3,3,Non,43,Marié(e),Commercial,Cadre Commercial,3,2,0
Non,0,2,8,2,Transformation Digitale,Occasionnel,4,2,3,2,3,4,3,3,Non,34,Célibataire,Consulting,Manager,3,5,0
Non,1,2,9,1,Transformation Digitale,Occasionnel,0,2,3,1,1,4,4,3,Non,23,Marié(e),Consulting,Consultant,1,4,0
Non,1,3,3,3,Ressources Humaines,Occasionnel,3,3,4,2,2,3,1,3,Non,39,Marié(e),Ressources Humaines,Ressources Humaines,9,8,0
Non,0,1,9,3,Transformation Digitale,Occasionnel,1,3,3,4,4,3,2,3,Non,56,Marié(e),Consulting,Manager,7,10,0
Non,0,2,2,1,Transformation Digitale,Occasionnel,2,4,2,1,4,4,2,4,Oui,40,Célibataire,Consulting,Assistant de Direction,0,4,0
Non,0,2,7,3,Transformation Digitale,Occasionnel,0,4,2,2,1,1,1,3,Non,27,Célibataire,Consulting,Manager,8,7,0
Non,2,2,10,3,Marketing,Occasionnel,2,4,3,1,2,4,3,3,Non,29,Divorcé(e),Commercial,Représentant Commercial,1,2,0
Non,0,4,6,3,Infra & Cloud,Occasionnel,2,4,3,2,4,4,3,3,Non,53,Célibataire,Consulting,Consultant,2,2,0
Non,1,2,2,4,Infra & Cloud,Aucun,0,4,3,2,1,1,4,3,Non,35,Divorcé(e),Consulting,Manager,2,1,0
Non,2,2,24,4,Infra & Cloud,Frequent,4,1,3,2,4,4,3,3,Non,32,Marié(e),Consulting,Consultant,1,10,0
Non,1,0,2,5,Transformation Digitale,Occasionnel,0,4,3,1,3,2,1,3,Oui,38,Marié(e),Consulting,Assistant de Direction,6,1,0
Non,1,3,8,5,Infra & Cloud,Occasionnel,0,2,3,2,1,3,3,3,Non,34,Divorcé(e),Consulting,Tech Lead,3,0,0
Non,0,3,3,4,Marketing,Occasionnel,1,3,2,4,1,1,4,3,Non,52,Marié(e),Commercial,Senior Manager,1,34,0
Oui,0,2,1,4,Autre,Occasionnel,7,4,3,1,4,3,2,3,Oui,33,Célibataire,Consulting,Assistant de Direction,1,10,1
Non,0,5,26,1,Transformation Digitale,Occasionnel,1,3,3,2,4,2,2,4,Non,25,Célibataire,Commercial,Cadre Commercial,1,6,0
Non,0,3,2,2,Entrepreunariat,Occasionnel,3,2,1,2,3,1,3,3,Non,45,Célibataire,Commercial,Représentant Commercial,0,8,0
Non,0,3,10,1,Transformation Digitale,Occasionnel,0,1,4,1,3,4,3,3,Non,23,Célibataire,Consulting,Assistant de Direction,1,2,0
Oui,0,2,27,2,Infra & Cloud,Frequent,1,2,4,2,3,4,3,3,Oui,47,Célibataire,Commercial,Cadre Commercial,4,5,1
Non,0,5,2,3,Autre,Occasionnel,1,4,3,2,4,3,3,4,Non,34,Célibataire,Commercial,Cadre Commercial,1,6,0
